Natural log of the partition function, its derivatives, entropy, and thermal capacity:
T, K          C2H6 
               Z_0          Z_1          Z_2 S, cal/mol/K C, cal/mol/K
 200.000    63.750900    0.01654010    -6.676130e-05    
 300.000    65.161900    0.01235340    -2.512280e-05    
 400.000    66.300700    0.01065010    -1.125470e-05    
 500.000    67.320100    0.00982295    -6.098890e-06    
 600.000    68.276100    0.00933020    -4.052480e-06    
 700.000    69.190600    0.00897503    -3.165300e-06    
 800.000    70.073100    0.00868226    -2.737340e-06    
 900.000    70.928100    0.00842120    -2.504840e-06    
1000.000    71.758000    0.00817841    -2.360560e-06    
1100.000    72.564200    0.00794775    -2.257260e-06    
1200.000    73.347800    0.00772634    -2.172890e-06    
1300.000    74.109700    0.00751290    -2.096910e-06    
1400.000    74.850700    0.00730685    -2.024390e-06    
1500.000    75.571300    0.00710797    -1.953230e-06    
1600.000    76.272500    0.00691618    -1.882710e-06    
1700.000    76.954800    0.00673141    -1.812810e-06    
1800.000    77.619000    0.00655359    -1.743810e-06    
1900.000    78.265800    0.00638261    -1.676040e-06    
2000.000    78.895700    0.00621833    -1.609860e-06    
2100.000    79.509600    0.00606057    -1.545560e-06    
2200.000    80.108100    0.00590915    -1.483360e-06    
2300.000    80.691700    0.00576383    -1.423430e-06    
2400.000    81.261000    0.00562438    -1.365860e-06    
2500.000    81.816700    0.00549057    -1.310700e-06    
2600.000    82.359300    0.00536216    -1.257960e-06    
2700.000    82.889300    0.00523890    -1.207620e-06    
2800.000    83.407300    0.00512056    -1.159620e-06    
2900.000    83.913600    0.00500690    -1.113910e-06    
3000.000    84.408800    0.00489770    -1.070400e-06    
 298.200    65.139600    0.01239900    -2.552660e-05    
